,speed,power,crop
2018-05-18 09:48:26,6.313,67.0,0.0
2018-05-18 09:48:27,6.407,91.0,0.0
2018-05-18 09:48:28,6.544,102.0,0.0
2018-05-18 09:48:29,6.564,103.0,0.0
2018-05-18 09:48:30,6.465,98.0,0.0
2018-05-18 09:48:31,6.313,112.0,0.0
2018-05-18 09:48:32,6.388,111.0,0.0
2018-05-18 09:48:33,6.407,124.0,0.0
2018-05-18 09:48:34,6.257,132.0,0.0
2018-05-18 09:48:35,6.407,136.0,0.0
2018-05-18 09:48:36,6.604,126.0,0.0
2018-05-18 09:48:37,6.604,126.0,0.0
2018-05-18 09:48:38,6.604,126.0,0.0
2018-05-18 09:48:39,6.564,124.0,0.0
2018-05-18 09:48:40,6.584,117.0,0.0
2018-05-18 09:48:41,6.445,106.0,0.0
2018-05-18 09:48:42,6.504,108.0,0.0
2018-05-18 09:48:43,6.728,137.0,0.0
2018-05-18 09:48:44,6.901,151.0,0.0
2018-05-18 09:48:45,7.037,169.0,0.0
2018-05-18 09:48:46,7.227,184.0,0.0
2018-05-18 09:48:47,7.131,187.0,0.0
2018-05-18 09:48:48,7.35,199.0,0.0
2018-05-18 09:48:49,7.376,207.0,0.0
2018-05-18 09:48:50,7.376,204.0,0.0
2018-05-18 09:48:51,7.452,193.0,0.0
2018-05-18 09:48:52,7.452,162.0,0.0
2018-05-18 09:48:53,7.427,149.0,0.0
2018-05-18 09:48:54,7.638,159.0,0.0
2018-05-18 09:48:55,7.665,166.0,0.0
2018-05-18 09:48:56,7.862,151.0,0.0
2018-05-18 09:48:57,7.949,178.0,0.0
2018-05-18 09:48:58,7.949,170.0,0.0
2018-05-18 09:48:59,7.891,199.0,400.0
2018-05-18 09:49:00,7.949,191.0,400.0
2018-05-18 09:49:01,7.776,161.0,400.0
2018-05-18 09:49:02,7.748,148.0,400.0
2018-05-18 09:49:03,7.721,154.0,400.0
2018-05-18 09:49:04,7.611,148.0,400.0
2018-05-18 09:49:05,7.611,133.0,400.0
2018-05-18 09:49:06,7.531,133.0,400.0
2018-05-18 09:49:07,7.638,124.0,400.0
2018-05-18 09:49:08,7.638,126.0,400.0
2018-05-18 09:49:09,7.611,122.0,400.0
2018-05-18 09:49:10,7.693,142.0,400.0
2018-05-18 09:49:11,7.833,159.0,400.0
2018-05-18 09:49:12,7.891,187.0,400.0
2018-05-18 09:49:13,7.776,175.0,400.0
2018-05-18 09:49:14,7.833,188.0,400.0
2018-05-18 09:49:15,7.805,192.0,400.0
2018-05-18 09:49:16,7.805,177.0,0.0
2018-05-18 09:49:17,7.833,163.0,0.0
2018-05-18 09:49:18,7.776,149.0,0.0
2018-05-18 09:49:19,7.748,133.0,0.0
2018-05-18 09:49:20,7.776,132.0,0.0
2018-05-18 09:49:21,7.891,149.0,0.0
2018-05-18 09:49:22,7.979,155.0,0.0
2018-05-18 09:49:23,7.979,144.0,0.0
2018-05-18 09:49:24,8.192,167.0,0.0
2018-05-18 09:49:25,8.384,247.0,0.0
2018-05-18 09:49:26,8.585,393.0,0.0
2018-05-18 09:49:27,8.906,378.0,0.0
2018-05-18 09:49:28,9.095,528.0,0.0
2018-05-18 09:49:29,9.212,537.0,0.0
2018-05-18 09:49:30,9.332,487.0,0.0
2018-05-18 09:49:31,9.251,380.0,0.0
2018-05-18 09:49:32,9.455,315.0,0.0
2018-05-18 09:49:33,9.625,299.0,0.0
2018-05-18 09:49:34,9.582,274.0,0.0
2018-05-18 09:49:35,9.756,271.0,0.0
2018-05-18 09:49:36,9.983,385.0,0.0
2018-05-18 09:49:37,9.845,380.0,0.0
2018-05-18 09:49:38,10.029,365.0,0.0
2018-05-18 09:49:39,10.22,359.0,0.0
2018-05-18 09:49:40,10.196,354.0,0.0
2018-05-18 09:49:41,10.124,339.0,0.0
2018-05-18 09:49:42,10.077,255.0,0.0
2018-05-18 09:49:43,10.172,228.0,0.0
2018-05-18 09:49:44,10.196,203.0,0.0
2018-05-18 09:49:45,10.22,233.0,0.0
2018-05-18 09:49:46,10.029,303.0,0.0
2018-05-18 09:49:47,9.891,342.0,0.0
2018-05-18 09:49:48,10.319,394.0,0.0
2018-05-18 09:49:49,10.369,411.0,0.0
2018-05-18 09:49:50,10.369,367.0,0.0
2018-05-18 09:49:51,10.269,282.0,0.0
2018-05-18 09:49:52,10.172,181.0,0.0
2018-05-18 09:49:53,9.937,152.0,0.0
2018-05-18 09:49:54,9.891,178.0,0.0
2018-05-18 09:49:55,10.029,244.0,0.0
2018-05-18 09:49:56,10.172,316.0,0.0
2018-05-18 09:49:57,10.269,438.0,0.0
2018-05-18 09:49:58,10.419,466.0,0.0
2018-05-18 09:49:59,10.521,404.0,0.0
2018-05-18 09:50:00,10.47,323.0,0.0
2018-05-18 09:50:01,10.245,295.0,0.0
2018-05-18 09:50:02,10.369,248.0,0.0
2018-05-18 09:50:03,10.573,321.0,0.0
2018-05-18 09:50:04,11.063,394.0,0.0
2018-05-18 09:50:05,10.979,466.0,0.0
2018-05-18 09:50:06,11.063,504.0,0.0
2018-05-18 09:50:07,11.007,541.0,400.0
2018-05-18 09:50:08,11.179,543.0,400.0
2018-05-18 09:50:09,11.296,479.0,400.0
2018-05-18 09:50:10,11.237,428.0,400.0
2018-05-18 09:50:11,11.063,239.0,400.0
2018-05-18 09:50:12,10.732,193.0,400.0
2018-05-18 09:50:13,10.951,336.0,400.0
2018-05-18 09:50:14,11.179,404.0,400.0
2018-05-18 09:50:15,11.237,459.0,400.0
2018-05-18 09:50:16,11.237,524.0,400.0
2018-05-18 09:50:17,11.356,522.0,400.0
2018-05-18 09:50:18,11.417,449.0,400.0
2018-05-18 09:50:19,11.296,392.0,400.0
2018-05-18 09:50:20,11.179,252.0,400.0
2018-05-18 09:50:21,11.237,199.0,400.0
2018-05-18 09:50:22,11.237,213.0,400.0
2018-05-18 09:50:23,11.296,372.0,400.0
2018-05-18 09:50:24,11.179,450.0,400.0
2018-05-18 09:50:25,11.296,532.0,400.0
2018-05-18 09:50:26,11.296,545.0,400.0
2018-05-18 09:50:27,11.602,540.0,400.0
2018-05-18 09:50:28,11.417,436.0,400.0
2018-05-18 09:50:29,11.237,325.0,400.0
2018-05-18 09:50:30,11.121,183.0,400.0
2018-05-18 09:50:31,10.785,186.0,400.0
2018-05-18 09:50:32,10.785,196.0,400.0
2018-05-18 09:50:33,10.951,374.0,400.0
2018-05-18 09:50:34,11.035,456.0,400.0
2018-05-18 09:50:35,11.179,440.0,400.0
2018-05-18 09:50:36,11.237,442.0,0.0
2018-05-18 09:50:37,11.15,334.0,0.0
2018-05-18 09:50:38,10.867,334.0,0.0
2018-05-18 09:50:39,10.47,0.0,0.0
2018-05-18 09:50:40,9.891,0.0,0.0
2018-05-18 09:50:41,9.891,0.0,0.0
2018-05-18 09:50:42,9.539,0.0,0.0
2018-05-18 09:50:43,9.212,0.0,0.0
2018-05-18 09:50:44,8.833,0.0,0.0
2018-05-18 09:50:45,9.056,0.0,0.0
2018-05-18 09:50:46,8.98,0.0,0.0
2018-05-18 09:50:47,8.869,0.0,0.0
2018-05-18 09:50:48,8.62,0.0,0.0
